name;email;telefone;comprado;nasc;city;state
Luis;luis@gmail.com;95648251;movel;11/05/2002;iguatu;ceara
Marcos;marcosmp3@gmail.com;95638542;carrinho;24/12/1953;ico;ceara
Luciano;luci123@gmail.com;96538291;bebida;21/05/1987;lavras;ceara
Eduardo;eddvargas@gmail.com;96473521;movel;16/06/1994;iguatu;ceara
Lara;larinha@gmail.com;96478452;utensilio;17/12/2002;iguatu;ceara
Fernando;ferarte@gmail.com;98546231;movel;23/09/1988;ico;ceara
Claudio;clind43@hotmail.com;68451783;alimenticio;23/01/2003;acopiara;ceara
Gabriel;biel@gmail.com;86241567;bebida;13/01/1966;crato;ceara
Pedro;pepedro@gmail.com;99654832;movel;24/12/1999;iguatu;ceara
Windows;windnonato@gmail.com;98461533;movel;15/02/1992;iguatu;ceara
Maicon;malconnn@gmail.com;99744177;alimenticio;07/08/2001;ico;ceara
